filepath,filename,label,label_id,writer_id,pair_id,extension,model,prob_forged,pred_label_id,pred_label,correct,confidence,error_type
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_12/original_12_12.png,original_12_12.png,genuine,0,writer_12,writer_12_sample_12,.png,Custom_CNN,0.8951188,1,forged,False,0.8951188,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_12/original_12_10.png,original_12_10.png,genuine,0,writer_12,writer_12_sample_10,.png,Custom_CNN,0.88809276,1,forged,False,0.88809276,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_12/original_12_22.png,original_12_22.png,genuine,0,writer_12,writer_12_sample_22,.png,Custom_CNN,0.87268794,1,forged,False,0.87268794,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_20.png,original_49_20.png,genuine,0,writer_49,writer_49_sample_20,.png,Custom_CNN,0.8698992,1,forged,False,0.8698992,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_15.png,original_49_15.png,genuine,0,writer_49,writer_49_sample_15,.png,Custom_CNN,0.86518276,1,forged,False,0.86518276,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_19.png,original_49_19.png,genuine,0,writer_49,writer_49_sample_19,.png,Custom_CNN,0.8649856,1,forged,False,0.8649856,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_2.png,original_49_2.png,genuine,0,writer_49,writer_49_sample_2,.png,Custom_CNN,0.8643197,1,forged,False,0.8643197,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_3.png,original_49_3.png,genuine,0,writer_49,writer_49_sample_3,.png,Custom_CNN,0.8603571,1,forged,False,0.8603571,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_7.png,original_49_7.png,genuine,0,writer_49,writer_49_sample_7,.png,Custom_CNN,0.8599785,1,forged,False,0.8599785,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_12/original_12_3.png,original_12_3.png,genuine,0,writer_12,writer_12_sample_3,.png,Custom_CNN,0.8549305,1,forged,False,0.8549305,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_9.png,original_49_9.png,genuine,0,writer_49,writer_49_sample_9,.png,Custom_CNN,0.850622,1,forged,False,0.850622,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_12/original_12_1.png,original_12_1.png,genuine,0,writer_12,writer_12_sample_1,.png,Custom_CNN,0.85056,1,forged,False,0.85056,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_12/original_12_23.png,original_12_23.png,genuine,0,writer_12,writer_12_sample_23,.png,Custom_CNN,0.8493081,1,forged,False,0.8493081,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_10.png,original_49_10.png,genuine,0,writer_49,writer_49_sample_10,.png,Custom_CNN,0.84846354,1,forged,False,0.84846354,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_22.png,original_49_22.png,genuine,0,writer_49,writer_49_sample_22,.png,Custom_CNN,0.84708875,1,forged,False,0.84708875,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_1.png,original_49_1.png,genuine,0,writer_49,writer_49_sample_1,.png,Custom_CNN,0.8425794,1,forged,False,0.8425794,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_23.png,original_49_23.png,genuine,0,writer_49,writer_49_sample_23,.png,Custom_CNN,0.84172183,1,forged,False,0.84172183,genuine_predicted_as_forged
/kaggle/input/datasets/matteocarnebella/cedar-signatures/signatures/signatures_49/original_49_14.png,original_49_14.png,genuine,0,writer_49,writer_49_sample_14,.png,Custom_CNN,0.836718,1,forged,False,0.836718,genuine_predicted_as_forged
